date,market_volatility_20d,market_volatility_5d,market_turnover_rate,trend_strength,trend_direction,accel_strength,market_ret_5d,volatility_regime,trend_regime
2024-01-02,0.0,0.0,0.9061295302013422,0.0,0.0,0.0,0.0,低波动,震荡
2024-01-03,0.0,0.0,0.8493946308724832,0.0,0.0,0.0,0.0,低波动,震荡
2024-01-04,0.0,0.0,0.8053758389261745,0.0,0.0,0.0,0.0,低波动,震荡
2024-01-05,0.0,0.0,0.8996714765100672,0.0,0.0,0.0,0.0,低波动,震荡
2024-01-08,0.0,0.0,0.8774620805369128,0.0,0.0,0.0,0.0,低波动,震荡
2024-01-09,0.0,0.014594851175612808,0.905338255033557,0.0,0.0,0.1932852123778208,-0.03058519421916639,低波动,震荡
2024-01-10,0.0,0.014268855712396764,0.8483332214765101,0.0,0.0,0.2030989595063285,-0.03331120385026862,低波动,震荡
2024-01-11,0.0,0.01629680191727165,0.9733214765100672,0.0,0.0,0.18259875681275614,-0.01791208741477462,低波动,震荡
2024-01-12,0.0,0.016278918948994144,0.8476251677852349,0.0,0.0,0.2106267735687581,-0.014212869120143792,低波动,震荡
2024-01-15,0.0,0.014795321264099772,0.7794211409395974,0.2618069005900635,-0.08083892617449663,0.1999628395117337,4.2713167433083676e-05,低波动,趋势
2024-01-16,0.0,0.01464483007051784,0.8905365771812082,0.26592067924868246,-0.019161073825503354,0.21482703481825138,0.002671054738096743,低波动,趋势
2024-01-17,0.0,0.017315268431268384,0.8386161073825503,0.26554389441917026,-0.1930201342281879,0.21295211927390653,-0.013275860006196011,低波动,趋势
2024-01-18,0.0,0.017847221549353837,1.2475191275167785,0.20099477501013466,-0.06567114093959732,0.16974460609882433,-0.009409273585229989,低波动,震荡
2024-01-19,0.0,0.017398786661086362,0.9274463087248322,0.22669812170622944,-0.08996644295302013,0.19047565424980856,-0.010982251663945867,低波动,趋势
2024-01-22,0.0,0.01986109769799208,1.104013422818792,0.24774379532453486,-0.17523489932885902,0.23316517273996668,-0.03585274980058213,低波动,趋势
2024-01-23,0.0,0.021593131191592785,1.0763909395973155,0.1727933426422233,-0.04553691275167785,0.1759999549569839,-0.029645459100829618,低波动,震荡
2024-01-24,0.0,0.023867326024365417,1.228268120805369,0.18322688167199674,0.05644295302013422,0.19425363722354844,0.0073148037103666005,低波动,震荡
2024-01-25,0.0,0.02560763357380637,1.4239161073825504,0.21952749876131697,0.1421476510067114,0.20966397910004048,0.020283095541840962,低波动,趋势
2024-01-26,0.0,0.02631396467571958,1.2199825503355706,0.2672476465024098,0.0884228187919463,0.22799648664474567,0.020886706527040073,低波动,趋势
2024-01-29,0.0,0.02320890056176837,1.2248895973154363,0.2684077293815594,0.01845637583892618,0.22602022431422006,0.03522667657096708,低波动,趋势
2024-01-30,0.020808746423877793,0.025052262936637742,1.028471476510067,0.22218255934417364,-0.15218120805369126,0.20792982298094678,0.005670371903906598,高波动,趋势
2024-01-31,0.02113326868578638,0.024292510609773894,1.146946644295302,0.26800144137651455,-0.1329530201342282,0.22440430611233725,-0.02458624720141749,高波动,趋势
2024-02-01,0.021469908034455306,0.02058370408911822,1.1202164429530201,0.20241858474843466,-0.08520134228187919,0.13938561326066387,-0.045452192549829885,高波动,震荡
2024-02-02,0.021744108703669322,0.019754038562768705,1.2488345637583893,0.2688950948155488,-0.11476510067114093,0.24060853114724556,-0.0547529891345401,高波动,趋势
2024-02-05,0.02198042068406544,0.019893608357093303,1.4268734899328859,0.2918683843070131,-0.04046979865771812,0.2366672672402144,-0.046867194070790284,高波动,趋势
2024-02-06,0.02513027995619264,0.032143025859030366,1.438096979865772,0.20178122607089766,0.09916107382550335,0.15105738480248634,0.014303534283112136,高波动,震荡
2024-02-07,0.025628663026709447,0.03143369657882614,1.4834919463087248,0.18738209990540963,0.09402684563758387,0.2102833205711454,0.04173046984359779,高波动,震荡
2024-02-08,0.02581741612135547,0.03180652534809769,1.4121359060402685,0.16893630917526234,0.06345637583892616,0.17788050087833876,0.04896260299473042,高波动,震荡
2024-02-19,0.026676404566701246,0.031047465763027686,1.411046644295302,0.20319602720598165,0.08808724832214763,0.17963154812846266,0.0845970496062651,高波动,震荡
2024-02-20,0.026745144886404167,0.02868034433237169,1.1684946308724833,0.19529728390613033,0.07218120805369127,0.14477951443628664,0.09230317324496866,高波动,震荡
2024-02-21,0.027069399347466293,0.022578896945409346,1.4409563758389263,0.20052677807305974,0.13848993288590603,0.16940678347822166,0.05106804044337586,高波动,震荡
2024-02-22,0.026686837516922093,0.020103963416163155,1.1970211409395972,0.2601166614116481,0.23503355704697984,0.21892031890455382,0.05095527496962339,高波动,趋势
2024-02-23,0.026586417154008318,0.0192665915236228,1.2536140939597316,0.2530606729426602,0.19711409395973153,0.20074546191612985,0.04385864119466835,高波动,趋势
2024-02-26,0.026952715840557404,0.017940618682098047,1.2159285234899329,0.2209013107517679,0.12,0.1902616999234268,0.01854277448932788,高波动,趋势
2024-02-27,0.02636120542917229,0.018445795852475428,1.3143154362416107,0.3088793297599207,0.23738255033557046,0.2221408945542993,0.035053399790633495,高波动,趋势
