stock_id,date,pred_return
000001,2026-03-09,0.51200473
000001,2026-03-10,0.51251817
000001,2026-03-11,0.53237015
000001,2026-03-12,0.5511463
000001,2026-03-13,0.5602698
000002,2026-03-09,0.5136371
000002,2026-03-10,0.50591004
000002,2026-03-11,0.52647656
000002,2026-03-12,0.50541633
000002,2026-03-13,0.48004946
000063,2026-03-09,0.5359561
000063,2026-03-10,0.4969215
000063,2026-03-11,0.5335483
000063,2026-03-12,0.5681164
000063,2026-03-13,0.582839
000100,2026-03-09,0.4834908
000100,2026-03-10,0.4389157
000100,2026-03-11,0.43873355
000100,2026-03-12,0.49939427
000100,2026-03-13,0.5086089
000157,2026-03-09,0.54496807
000157,2026-03-10,0.5178153
000157,2026-03-11,0.52876025
000157,2026-03-12,0.455636
000157,2026-03-13,0.4589341
000166,2026-03-09,0.49176148
000166,2026-03-10,0.48889294
000166,2026-03-11,0.5254687
000166,2026-03-12,0.5752284
000166,2026-03-13,0.54618907
000301,2026-03-09,0.6451302
000301,2026-03-10,0.64771545
000301,2026-03-11,0.674317
000301,2026-03-12,0.7416532
000301,2026-03-13,0.7180695
000333,2026-03-09,0.48504314
000333,2026-03-10,0.49371535
000333,2026-03-11,0.5499175
000333,2026-03-12,0.52848214
000333,2026-03-13,0.5300393
000338,2026-03-09,0.8144271
000338,2026-03-10,0.7105095
000338,2026-03-11,0.6504638
000338,2026-03-12,0.7276861
000338,2026-03-13,0.6892548
000408,2026-03-09,0.5979755
000408,2026-03-10,0.55800945
000408,2026-03-11,0.58808273
000408,2026-03-12,0.6403033
000408,2026-03-13,0.595676
000425,2026-03-09,0.58755046
000425,2026-03-10,0.5509487
000425,2026-03-11,0.588006
000425,2026-03-12,0.5098037
000425,2026-03-13,0.5541056
000538,2026-03-09,0.5147905
000538,2026-03-10,0.5033716
000538,2026-03-11,0.5258771
000538,2026-03-12,0.53195584
000538,2026-03-13,0.5110946
000568,2026-03-09,0.47857073
000568,2026-03-10,0.49187753
000568,2026-03-11,0.5039177
000568,2026-03-12,0.4799667
000568,2026-03-13,0.44670296
000596,2026-03-09,0.54579484
000596,2026-03-10,0.4978807
000596,2026-03-11,0.49166813
000596,2026-03-12,0.49430487
000596,2026-03-13,0.46900716
000617,2026-03-09,0.45534444
000617,2026-03-10,0.46646944
000617,2026-03-11,0.4896364
000617,2026-03-12,0.51623905
000617,2026-03-13,0.52161044
000625,2026-03-09,0.47068703
000625,2026-03-10,0.46490014
000625,2026-03-11,0.52512205
000625,2026-03-12,0.4824253
000625,2026-03-13,0.50789195
000630,2026-03-09,0.4439201
000630,2026-03-10,0.41808274
000630,2026-03-11,0.40846467
000630,2026-03-12,0.39910144
000630,2026-03-13,0.39015839
000651,2026-03-09,0.49656925
000651,2026-03-10,0.50008893
000651,2026-03-11,0.5075133
000651,2026-03-12,0.5195648
000651,2026-03-13,0.5686874
000661,2026-03-09,0.4105041
000661,2026-03-10,0.48722276
