date,market_volatility_20d,market_return_1d,direction_consistency,market_return_20d,trend_strength,trend_direction,volatility_threshold,trend_strength_threshold,direction_consistency_threshold,volatility_regime,trend_regime,primary_regime,is_low_volatility,is_high_volatility,is_trend,is_range,is_high_volatility_range,is_low_volatility_trend
2024-01-02,0.0,0.0,0.0,,,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,range,low_volatility_range,1,0,0,1,0,0
2024-01-03,0.0,-0.0024512475228631566,0.006711409395973154,,,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,range,low_volatility_range,1,0,0,1,0,0
2024-01-04,0.0,-0.009232441639013262,0.5335570469798657,,,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,range,low_volatility_range,1,0,0,1,0,0
2024-01-05,0.0,-0.007414486635736296,0.4597315436241611,,,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,range,low_volatility_range,1,0,0,1,0,0
2024-01-08,0.0,-0.014142653330129573,0.697986577181208,-0.03324082912774229,0.03324082912774229,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,trend,low_volatility_trend,1,0,1,0,0,1
2024-01-09,0.0,0.0019977431611918166,0.174496644295302,-0.03124308596655047,0.03124308596655047,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,range,low_volatility_range,1,0,0,1,0,0
2024-01-10,0.0,-0.005111805093813446,0.33221476510067116,-0.036354891060363916,0.036354891060363916,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,trend,low_volatility_trend,1,0,1,0,0,1
2024-01-11,0.0,0.006696761128068488,0.2684563758389262,-0.029658129932295427,0.029658129932295427,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,range,low_volatility_range,1,0,0,1,0,0
2024-01-12,0.0,-0.0037100815326943067,0.12080536912751678,-0.033368211464989736,0.033368211464989736,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,range,low_volatility_range,1,0,0,1,0,0
2024-01-15,0.0,0.00014089935510086255,0.06040268456375839,-0.03322731210988887,0.03322731210988887,down,0.0201990734547049,0.032607459176110146,0.2969798657718121,low_volatility,range,low_volatility_range,1,0,0,1,0,0
