profile_name,date,selected_count,signal_count,cash_weight,gross_return,transaction_cost,net_return,turnover,desired_turnover,execution_strength,net_value_before_cost,net_value_after_cost,selected_stock_ids,selected_weights,target_weights,selected_pred_returns,selected_target_returns,filter_initial_candidates,filter_after_primary_screen,filter_after_risk_filters,filter_after_secondary_screen,filter_secondary_quality_filter_count,filter_fallback_used,drawdown_before_cost,drawdown_after_cost
sl20__risk_adjusted__cs120__rp-40,2025-11-26,5,5,0.0,0.009760043866984756,0.001,0.008760043866984757,1.0,1.0,1.0,1.0097600438669847,1.0087600438669848,"000001,000895,600000,600938,600905","0.201805,0.203196,0.198958,0.196105,0.199936","0.201805,0.203196,0.198958,0.196105,0.199936","0.585089,0.589121,0.576834,0.568565,0.579672","-0.001715,0.020030,0.000000,0.028336,0.002398",300,120,96,96,96,False,0.0,0.0
sl20__risk_adjusted__cs120__rp-40,2025-11-27,5,5,0.0,0.0014641750643114555,0.001,0.0004641750643114555,1.0,2.0,0.5,1.0112385093441527,1.0092282851252217,"600415,300803,600048,688082,601728","0.101415,0.099918,0.100008,0.098799,0.099860","0.202830,0.199837,0.200017,0.197597,0.199720","0.586780,0.578120,0.578641,0.571642,0.577782","0.022054,-0.001832,-0.042963,0.013635,0.023634",300,120,100,100,100,False,0.0,0.0
sl20__risk_adjusted__cs120__rp-40,2025-11-28,5,5,0.0,-0.0054129253256220405,0.001,-0.0064129253256220405,1.0,1.8001634579401096,0.5555051101549854,1.0057647508066796,1.002756179496208,"688012,300347,600050,300803,600196","0.110635,0.112658,0.112413,0.153879,0.110333","0.199161,0.202803,0.202362,0.197056,0.198618","0.570082,0.580506,0.579243,0.564054,0.568528","0.018676,-0.041569,-0.011091,-0.007689,-0.003319",300,120,103,103,103,False,-0.005412925325621876,-0.006412925325621988
sl20__risk_adjusted__cs120__rp-40,2025-12-01,5,5,0.0,0.02086982710220462,0.001,0.01986982710220462,1.0,1.1578253405947736,0.8636881271628596,1.0267548872615069,1.0226807714084651,"300408,688012,688082,300347,300803","0.171046,0.192233,0.175502,0.192046,0.190260","0.198041,0.205111,0.196270,0.204576,0.196002","0.565015,0.585185,0.559961,0.583658,0.559196","0.014282,0.042137,0.008698,-0.018178,0.064602",300,120,98,98,98,False,0.0,0.0
sl20__risk_adjusted__cs120__rp-40,2025-12-02,5,5,0.0,0.01123610044639937,0.0008509217312188125,0.010385178715180557,0.8509217312188125,0.8509217312188125,1.0,1.0382916083086087,1.0333014939881207,"300347,688012,300803,002074,000568","0.197687,0.201829,0.200290,0.201428,0.198767","0.197687,0.201829,0.200290,0.201428,0.198767","0.566013,0.577873,0.573467,0.576726,0.569107","0.012695,0.045554,0.056777,0.007499,-0.067164",300,120,98,98,98,False,0.0,0.0
sl20__risk_adjusted__cs120__rp-40,2025-12-03,5,5,0.0,0.026891444007765032,0.0007982507276742263,0.026093193280090805,0.7982507276742263,0.7982507276742263,1.0,1.0662127689571719,1.0602636295873593,"002459,300803,688012,600515,002074","0.201000,0.201423,0.199157,0.195983,0.202437","0.201000,0.201423,0.199157,0.195983,0.202437","0.589029,0.590270,0.583629,0.574329,0.593241","0.000000,0.056218,0.062720,-0.016461,0.031135",300,120,104,104,104,False,0.0,0.0
sl20__risk_adjusted__cs120__rp-40,2025-12-04,5,5,0.0,0.02214881442214283,0.0008157256832738234,0.021333088738869008,0.8157256832738233,0.8157256832738233,1.0,1.0898281177113234,1.0828823276839417,"600515,300803,002493,002074,600690","0.202797,0.197500,0.204267,0.198654,0.196782","0.202797,0.197500,0.204267,0.198654,0.196782","0.584557,0.569288,0.588793,0.572613,0.567219","0.081250,0.053582,-0.016649,0.022199,-0.030083",300,120,99,99,99,False,0.0,0.0
sl20__risk_adjusted__cs120__rp-40,2025-12-05,5,5,0.0,-0.008882461632140098,0.001,-0.0098824616321401,1.0,1.2027970228350153,0.8313954732303719,1.0801477612701251,1.0721807846284825,"002916,600515,601298,601838,002493","0.166325,0.202307,0.167130,0.166545,0.197721","0.200055,0.202208,0.201023,0.200320,0.196393","0.568263,0.574379,0.571014,0.569017,0.557862","0.015684,0.018634,-0.003472,-0.028909,-0.049898",300,120,102,102,102,False,-0.008882461632140015,-0.009882461632140127
sl20__risk_adjusted__cs120__rp-40,2025-12-08,5,5,0.0,0.002258397525049444,0.001,0.001258397525049444,1.0,1.6657402351733228,0.6003337008281777,1.0825871643008653,1.0735300142742648,"600938,601298,600027,600741,000333","0.119611,0.188595,0.119196,0.119955,0.119773","0.199241,0.202886,0.198549,0.199813,0.199511","0.572998,0.583481,0.571008,0.574644,0.573774","0.003180,0.012821,0.009634,0.008101,-0.022209",300,120,104,104,104,False,-0.006644124236456994,-0.008636500172349737
sl20__risk_adjusted__cs120__rp-40,2025-12-09,5,5,0.0,0.011761245188961695,0.000665740235173323,0.011095504953788372,0.665740235173323,0.665740235173323,1.0,1.0953197373786305,1.0854413718656855,"000333,600938,600741,600027,601298","0.199852,0.199583,0.200781,0.199383,0.200400","0.199852,0.199583,0.200781,0.199383,0.200400","0.579968,0.579188,0.582665,0.578607,0.581559","0.003376,-0.000709,0.018936,0.017308,0.019837",300,120,111,111,111,False,0.0,0.0
