profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,selection_score_final,rerank_signal_score,risk_penalty,secondary_candidate_size,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600941,0.20234174957139434,0.16187339965711547,0.54859453,-0.0113280530484434,0.9737931034482759,0.9737931034482759,0.0,0.26206896551724135,0,0.0057043386453258,0.003607903873591,1.0859,-0.1360558830783428,-0.0929878048780491
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600803,0.20031811641691147,0.16025449313352919,0.543108,0.0396559961777352,0.9027586206896552,0.9027586206896552,0.0,0.6275862068965516,0,0.0103952789422884,0.0180648438284963,0.3657,-0.1834684171746264,-0.1445511010728403
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601728,0.19961227378637197,0.1596898190290976,0.5411943,0.0190336749633966,0.8813793103448275,0.8813793103448275,0.0,0.496551724137931,0,0.0079260273370132,0.0065309942732948,0.1667,0.2561223720895185,2.220446049250313e-16
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600050,0.19902487934644306,0.15921990347715445,0.53960174,0.0,0.8674137931034482,0.8674137931034482,0.0,0.2913793103448276,0,0.0072964178870625,0.0132413755214649,0.5092,-0.2572495478149251,-0.3245227606461086
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601939,0.19870298087887914,0.1589623847031033,0.538729,-0.0174897119341564,0.7872413793103448,0.7872413793103448,0.0,0.7482758620689656,0,0.0124647177727807,0.0173680756650706,1.2737,0.0461257946350839,-0.1204986149584487
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.20209912824289541,0.20209912824289541,0.54842174,-0.0125879303961495,0.9479310344827586,0.9479310344827586,0.0,0.17586206896551723,0,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600803,0.2034235252279141,0.2034235252279141,0.55201566,0.0341280972417017,0.9348275862068965,0.9348275862068965,0.0,0.6517241379310345,0,0.0105566098420881,0.0185959511606198,0.4765,0.0416438955077058,-0.2438356164383561
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600050,0.19802427263191294,0.19802427263191294,0.5373641,-0.0055248618784529,0.8651724137931035,0.8651724137931035,0.0,0.3137931034482759,0,0.0072979057007891,0.0111053349342166,0.4232,-0.3353853885294302,-0.337568058076225
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,002459,0.19857591062684712,0.19857591062684712,0.53886104,-0.0507910074937551,0.8556896551724138,0.8556896551724138,0.0,0.753448275862069,0,0.0310421489824494,0.0336168274670467,1.3718,-0.285371952490102,-0.2567958357432042
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601728,0.19787716327043034,0.19787716327043034,0.5369649,0.0236336779911373,0.814655172413793,0.814655172413793,0.0,0.47413793103448276,0,0.0081572438301347,0.0070088946460592,0.1327,0.0069049245011001,0.0232558139534884
