profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,selection_score_final,rerank_signal_score,risk_penalty,secondary_candidate_size,secondary_screen_mode,secondary_signal_score,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d,turnover_spike_5d,crowding_reversal_risk_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600941,0.20276645391980866,0.16221316313584694,0.54859453,-0.0113280530484434,0.9753333333333334,0.9753333333333334,0.0,0.24666666666666665,15,quality_layer,0.33999999999999997,0.0057043386453258,0.003607903873591,1.0859,-0.1360558830783428,-0.0929878048780491,0.7882778245587936,0.1313796374264655
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600803,0.20073857326918562,0.1605908586153485,0.543108,0.0396559961777352,0.9036666666666666,0.9036666666666666,0.0,0.63,15,quality_layer,-0.00666666666666671,0.0103952789422884,0.0180648438284963,0.3657,-0.1834684171746264,-0.1445511010728403,0.631933644374232,0.0968964921373822
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601728,0.20003124911328063,0.16002499929062453,0.5411943,0.0190336749633966,0.8841666666666667,0.8841666666666667,0.0,0.4916666666666667,15,quality_layer,0.08999999999999997,0.0079260273370132,0.0065309942732948,0.1667,0.2561223720895185,2.220446049250313e-16,1.0314317534894724,0.2097244565428594
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600050,0.1994426217643085,0.1595540974114468,0.53960174,0.0,0.8706666666666667,0.8706666666666667,0.0,0.2933333333333334,15,quality_layer,0.20499999999999996,0.0072964178870625,0.0132413755214649,0.5092,-0.2572495478149251,-0.3245227606461086,0.6943005181337687,0.1180310880827407
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601186,0.19702110193341665,0.15761688154673334,0.5330502,0.0077619663648124,0.8168333333333334,0.8168333333333334,0.0,0.165,15,quality_layer,0.235,0.0059976078515267,0.0088082456514625,0.1496,-0.5016489556614144,-0.2524271844660195,0.5090859592986148,0.2206039156960664
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.2039546450370555,0.2039546450370555,0.54842174,-0.0125879303961495,0.9501612903225807,0.9501612903225807,0.0,0.17580645161290326,15,quality_layer,0.29516129032258065,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069,0.7572094214843503,0.242307014874992
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600050,0.1998423772754829,0.1998423772754829,0.5373641,-0.0055248618784529,0.9030645161290322,0.9030645161290322,0.0,0.3241935483870968,15,quality_layer,0.08064516129032256,0.0072979057007891,0.0111053349342166,0.4232,-0.3353853885294302,-0.337568058076225,0.7012892320937575,0.3272683083104201
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601728,0.19969391727041674,0.19969391727041674,0.5369649,0.0236336779911373,0.8570967741935483,0.8570967741935483,0.0,0.4612903225806452,15,quality_layer,0.01774193548387093,0.0081572438301347,0.0070088946460592,0.1327,0.0069049245011001,0.0232558139534884,0.8553564522311761,0.3734393441058902
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601838,0.19844554416168408,0.19844554416168408,0.5336081,0.0117855038302888,0.7827419354838709,0.7827419354838709,0.0,0.5596774193548387,15,quality_layer,0.08387096774193548,0.0079123949950431,0.0095134458383348,0.9315,0.1270417422867513,0.2983770287141074,0.9865703573460712,0.2177598491620292
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601186,0.19806351625536087,0.19806351625536087,0.53258085,0.0051746442432082,0.7246774193548388,0.7246774193548388,0.0,0.17258064516129035,15,quality_layer,0.22741935483870968,0.0059972741591806,0.0087340058456186,0.1415,-0.501514831254844,-0.3538767395626243,0.5510124610570443,0.282853063342616
