stock_id,date,pred_return
000001,2026-03-09,0.5426594
000001,2026-03-10,0.56771636
000001,2026-03-11,0.5526271
000001,2026-03-12,0.5467706
000001,2026-03-13,0.55706435
000002,2026-03-09,0.57028246
000002,2026-03-10,0.5941355
000002,2026-03-11,0.57761955
000002,2026-03-12,0.51335394
000002,2026-03-13,0.46954224
000063,2026-03-09,0.5563647
000063,2026-03-10,0.63327837
000063,2026-03-11,0.6735573
000063,2026-03-12,0.6328746
000063,2026-03-13,0.6044364
000100,2026-03-09,0.5048511
000100,2026-03-10,0.5524931
000100,2026-03-11,0.5420952
000100,2026-03-12,0.5515777
000100,2026-03-13,0.5466844
000157,2026-03-09,0.5863155
000157,2026-03-10,0.66129637
000157,2026-03-11,0.6728393
000157,2026-03-12,0.5704833
000157,2026-03-13,0.597823
000166,2026-03-09,0.5091857
000166,2026-03-10,0.5168518
000166,2026-03-11,0.53888166
000166,2026-03-12,0.52780926
000166,2026-03-13,0.56241083
000301,2026-03-09,0.6466346
000301,2026-03-10,0.42425695
000301,2026-03-11,0.3735703
000301,2026-03-12,0.31048018
000301,2026-03-13,0.31414747
000333,2026-03-09,0.53171253
000333,2026-03-10,0.558898
000333,2026-03-11,0.58930147
000333,2026-03-12,0.59189355
000333,2026-03-13,0.6000632
000338,2026-03-09,0.46760115
000338,2026-03-10,0.50031847
000338,2026-03-11,0.43109465
000338,2026-03-12,0.5583044
000338,2026-03-13,0.6202105
000408,2026-03-09,0.56903964
000408,2026-03-10,0.5429703
000408,2026-03-11,0.5756866
000408,2026-03-12,0.5350741
000408,2026-03-13,0.57574
000425,2026-03-09,0.566906
000425,2026-03-10,0.65719056
000425,2026-03-11,0.6269094
000425,2026-03-12,0.52403605
000425,2026-03-13,0.58614427
000538,2026-03-09,0.49183843
000538,2026-03-10,0.5133034
000538,2026-03-11,0.5412973
000538,2026-03-12,0.50239754
000538,2026-03-13,0.5157912
000568,2026-03-09,0.5291598
000568,2026-03-10,0.4850917
000568,2026-03-11,0.5197973
000568,2026-03-12,0.5171181
000568,2026-03-13,0.473186
000596,2026-03-09,0.5593972
000596,2026-03-10,0.5049155
000596,2026-03-11,0.5440922
000596,2026-03-12,0.5876157
000596,2026-03-13,0.5810712
000617,2026-03-09,0.39190927
000617,2026-03-10,0.38014847
000617,2026-03-11,0.4235331
000617,2026-03-12,0.4497636
000617,2026-03-13,0.55333114
000625,2026-03-09,0.5184587
000625,2026-03-10,0.53370047
000625,2026-03-11,0.52973485
000625,2026-03-12,0.52757597
000625,2026-03-13,0.54275167
000630,2026-03-09,0.30955404
000630,2026-03-10,0.35041517
000630,2026-03-11,0.3689698
000630,2026-03-12,0.38671455
000630,2026-03-13,0.42310157
000651,2026-03-09,0.51081073
000651,2026-03-10,0.54879844
000651,2026-03-11,0.530005
000651,2026-03-12,0.48138332
000651,2026-03-13,0.5199909
000661,2026-03-09,0.44585297
000661,2026-03-10,0.45262972
000661,2026-03-11,0.54886675
000661,2026-03-12,0.59888875
000661,2026-03-13,0.58549416
000708,2026-03-09,0.55393946
000708,2026-03-10,0.57627505
000708,2026-03-11,0.60656965
000708,2026-03-12,0.6408535
000708,2026-03-13,0.601349
000725,2026-03-09,0.48244897
000725,2026-03-10,0.47515973
000725,2026-03-11,0.50198865
