profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,selection_score_final,rerank_signal_score,risk_penalty,secondary_candidate_size,secondary_screen_mode,secondary_signal_score,secondary_screen_weight,local_tiebreak_start_rank,local_tiebreak_end_rank,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d,turnover_spike_5d,crowding_reversal_risk_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600941,0.20178740663967076,0.1614299253117366,0.55423933,-0.0113280530484434,0.9748076923076923,0.9748076923076923,0.0,0.2519230769230769,0,none,0.0,0.0,8,15,0.0057043386453258,0.003607903873591,1.0859,-0.1360558830783428,-0.0929878048780491,0.7882778245587936,0.1313796374264655
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600803,0.2014546485222588,0.16116371881780706,0.55332536,0.0396559961777352,0.9015384615384615,0.9015384615384615,0.0,0.6000000000000001,0,none,0.0,0.0,8,15,0.0103952789422884,0.0180648438284963,0.3657,-0.1834684171746264,-0.1445511010728403,0.631933644374232,0.0968964921373822
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601939,0.1997368976514024,0.15978951812112194,0.5486073,-0.0174897119341564,0.8503846153846154,0.8503846153846154,0.0,0.7269230769230769,0,none,0.0,0.0,8,15,0.0124647177727807,0.0173680756650706,1.2737,0.0461257946350839,-0.1204986149584487,0.7789928198348813,0.0934791383801857
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601728,0.19905763375909144,0.15924610700727315,0.5467416,0.0190336749633966,0.8382692307692308,0.8382692307692308,0.0,0.4634615384615385,0,none,0.0,0.0,8,15,0.0079260273370132,0.0065309942732948,0.1667,0.2561223720895185,2.220446049250313e-16,1.0314317534894724,0.2097244565428594
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600050,0.19796341342757665,0.15837073074206132,0.54373616,0.0,0.8217307692307693,0.8217307692307693,0.0,0.24423076923076925,0,none,0.0,0.0,8,15,0.0072964178870625,0.0132413755214649,0.5092,-0.2572495478149251,-0.3245227606461086,0.6943005181337687,0.1180310880827407
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.20062785353209026,0.18858440868160645,0.5542225,-0.0125879303961495,0.9458,0.9458,0.0,0.14200000000000002,0,none,0.0,0.0,8,15,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069,0.7572094214843503,0.242307014874992
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600803,0.20321715820799993,0.19029636619006962,0.5613753,0.0341280972417017,0.9408,0.9408,0.0,0.5920000000000001,0,none,0.0,0.0,8,15,0.0105566098420881,0.0185959511606198,0.4765,0.0416438955077058,-0.2438356164383561,0.7742428181451086,0.09548994757123
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601012,0.19919753492171194,0.1379946949987525,0.55027133,-0.0335316387236342,0.8420000000000001,0.8420000000000001,0.0,0.78,0,none,0.0,0.0,8,15,0.0300603859274929,0.0280526656509643,2.0724,-0.2629003115708005,-0.1064871481028151,0.8813547788954226,0.8461005877396056
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,001979,0.19896929470834643,0.1378365809003918,0.54964083,-0.0084388185654008,0.7946,0.7946,0.0,0.854,0,none,0.0,0.0,8,15,0.0143522506353937,0.0147823799836586,0.9644,0.4658985544695924,0.6047874938935027,1.3582715979812423,1.184323918738066
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600233,0.19798815862985153,0.13715689591354,0.5469305,0.0070629782224838,0.7876,0.7876,0.0,0.524,0,none,0.0,0.0,8,15,0.0150971052086511,0.014409062483064,0.2324,-0.5420509182627886,-0.4731977818853974,0.39831350906592,0.0517807561785696
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,688012,0.20538277848536673,0.12799982895008133,0.5722582,0.0186757215619694,0.905952380952381,0.905952380952381,0.0,0.9404761904761905,0,none,0.0,0.0,8,15,0.028777639245925,0.0126898117843831,1.8046,0.0219151707344698,0.0398344542162441,1.0886824324317756,0.6188537282752379
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,600803,0.2039609291286856,0.19881247319631057,0.5682965,-0.0110142267094996,0.9042857142857142,0.9042857142857142,0.0,0.4809523809523809,0,none,0.0,0.0,8,15,0.0103594350237514,0.0087001950453138,0.3791,-0.1866901227151806,-0.2653061224489795,0.7929303492976514,0.1004378442443692
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,300347,0.20392284996652194,0.1270899639552186,0.5681904,-0.0415686274509803,0.8435714285714286,0.8435714285714286,0.0,0.6119047619047618,0,none,0.0,0.0,8,15,0.0195245099241311,0.0098297474405359,1.2893,-0.3384439347526028,-0.4264448336252188,0.8464305878331125,0.2200719528366092
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,002074,0.19414669801623718,0.12099721466701278,0.5409511,-0.0264429188914314,0.785952380952381,0.785952380952381,0.0,0.7119047619047619,0,none,0.0,0.0,8,15,0.0245117825530542,0.0056345602273338,2.4247,-0.0940814717673387,0.0635155096011816,1.0309186302600233,0.2338982298492461
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-28,600233,0.19258674440318863,0.17170220286540527,0.5366046,0.018746338605741,0.7471428571428571,0.7471428571428571,0.0,0.6238095238095238,0,none,0.0,0.0,8,15,0.0150972881373032,0.0141913263652187,0.2505,-0.5043529877324893,-0.2205767731878409,0.5899670277894725,0.2340202543564907
