profile_name,date,stock_id,target_weight,executed_weight,pred_return,target_return,selection_score,selection_score_final,rerank_signal_score,risk_penalty,secondary_candidate_size,secondary_screen_mode,secondary_signal_score,volatility_20d,volatility_5d,turnover_rate,turnover_ratio_10d,amplitude_ratio_5d,turnover_spike_5d,crowding_reversal_risk_5d
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600941,0.20276645391980866,0.16221316313584694,0.54859453,-0.0113280530484434,0.97390625,0.97390625,0.0,0.2609375,20,quality_layer,0.3328125,0.0057043386453258,0.003607903873591,1.0859,-0.1360558830783428,-0.0929878048780491,0.7882778245587936,0.1313796374264655
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600803,0.20073857326918562,0.1605908586153485,0.543108,0.0396559961777352,0.905625,0.905625,0.0,0.63125,20,quality_layer,-0.0015625000000000222,0.0103952789422884,0.0180648438284963,0.3657,-0.1834684171746264,-0.1445511010728403,0.631933644374232,0.0968964921373822
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601728,0.20003124911328063,0.16002499929062453,0.5411943,0.0190336749633966,0.8871875,0.8871875,0.0,0.503125,20,quality_layer,0.08906250000000004,0.0079260273370132,0.0065309942732948,0.1667,0.2561223720895185,2.220446049250313e-16,1.0314317534894724,0.2097244565428594
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,600050,0.1994426217643085,0.1595540974114468,0.53960174,0.0,0.8753125,0.8753125,0.0,0.309375,20,quality_layer,0.19687500000000002,0.0072964178870625,0.0132413755214649,0.5092,-0.2572495478149251,-0.3245227606461086,0.6943005181337687,0.1180310880827407
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-26,601186,0.19702110193341665,0.15761688154673334,0.5330502,0.0077619663648124,0.82625,0.82625,0.0,0.17500000000000002,20,quality_layer,0.23125,0.0059976078515267,0.0088082456514625,0.1496,-0.5016489556614144,-0.2524271844660195,0.5090859592986148,0.2206039156960664
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600941,0.20249110305831042,0.20249110305831042,0.54842174,-0.0125879303961495,0.9525757575757576,0.9525757575757576,0.0,0.1712121212121212,20,quality_layer,0.30454545454545456,0.0059264285834298,0.0037909930464205,0.9458,-0.2068696592843546,-0.2457627118644069,0.7572094214843503,0.242307014874992
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600803,0.203818068734586,0.203818068734586,0.55201566,0.0341280972417017,0.9312121212121212,0.9312121212121212,0.0,0.687878787878788,20,quality_layer,-0.042424242424242475,0.0105566098420881,0.0185959511606198,0.4765,0.0416438955077058,-0.2438356164383561,0.7742428181451086,0.09548994757123
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,600050,0.19840834419316825,0.19840834419316825,0.5373641,-0.0055248618784529,0.9056060606060606,0.9056060606060606,0.0,0.33787878787878795,20,quality_layer,0.06969696969696965,0.0072979057007891,0.0111053349342166,0.4232,-0.3353853885294302,-0.337568058076225,0.7012892320937575,0.3272683083104201
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601728,0.1982609495104905,0.1982609495104905,0.5369649,0.0236336779911373,0.8613636363636363,0.8613636363636363,0.0,0.47727272727272735,20,quality_layer,0.010606060606060563,0.0081572438301347,0.0070088946460592,0.1327,0.0069049245011001,0.0232558139534884,0.8553564522311761,0.3734393441058902
lstm_sl10_base_alpha_v3_rs_crowding_mini4__risk_adjusted_sort__pred_weight__cs40_v2086_v596_rp10_mt80,2025-11-27,601838,0.19702153450344478,0.19702153450344478,0.5336081,0.0117855038302888,0.7910606060606061,0.7910606060606061,0.0,0.5742424242424242,20,quality_layer,0.07727272727272727,0.0079123949950431,0.0095134458383348,0.9315,0.1270417422867513,0.2983770287141074,0.9865703573460712,0.2177598491620292
